Name,Gender,Race,Age,Phone Number,Date of Birth,Aadhar Number,Address,State
nitin,Male,Indian,39,8870420417,1-3-1983,5470 0000 0000,"H.No. 688
Srinivas Path
Amaravati-140368",Kerala
tripti,Male,Indian,82,6685222304,24-11-1940,5930 0000 0000,"H.No. 05
Bal Marg, Ahmednagar-439474",Punjab
somdutt,Male,Indian,22,1769586754,2-1-2000,6170 0000 0000,"26/342, Zachariah Circle
Solapur-535546",Arunachal Pradesh
bhagwati prasad,Female,Indian,96,9150944354,19-7-1926,2550 0000 0000,"047, Krishnan Zila, Raurkela Industrial Township 944112",Karnataka
yognder,Female,Indian,9,8383788450,24-4-2013,8950 0000 0000,"207
Behl Marg
Kollam 644605",Bihar
kuldeep,Female,Indian,36,8193161711,26-10-1986,8000 0000 0000,"03/253
De Zila, Shivpuri-429818",Karnataka
amit,Female,Indian,19,9316555765,26-7-2003,8410 0000 0000,"32
Behl Chowk
Hajipur 190871",Tamil Nadu
shivam,Male,Indian,77,8636630194,27-11-1945,8210 0000 0000,"56
Raval Street, Gaya 361606",Haryana
sandeep kumar,Male,Indian,76,7218154220,23-11-1946,9560 0000 0000,"84/54, Gandhi Path
Srinagar-401648",Himachal Pradesh
gurdeep kaur,Male,Indian,17,9206040110,4-1-2005,4450 0000 0000,"H.No. 48, Ben Zila
Siwan-709274",Maharashtra
karan,Female,Indian,88,3743958243,28-3-1934,4960 0000 0000,"65, Singhal Path, Vijayanagaram 533452",Uttar Pradesh
neha,Male,Indian,34,9343307962,3-8-1988,4300 0000 0000,"H.No. 074
Dar Marg
Tiruvottiyur-659719",Jharkhand
Kashish Jain,Female,Indian,20,6398947440,6-3-2002,9490 0000 0000,"329, Mand Marg, Agra-282001",Uttar pradesh
manju devi,Male,Indian,68,2514577113,13-12-1954,6390 0000 0000,"H.No. 43
Mand
Imphal-800046",Meghalaya
kabir,Female,Indian,38,2139889401,11-12-1984,1680 0000 0000,"H.No. 654, Jani, Gwalior 890634",Andhra Pradesh
mahabir prasad,Female,Indian,14,9611476658,5-2-2008,3350 0000 0000,"H.No. 69
Agarwal Ganj
Gandhidham-621939",Mizoram
rajni,Female,Indian,25,2676244262,2-2-1997,9560 0000 0000,"H.No. 202
Ravel Marg
Bhusawal-633144",Telangana
manoj,Female,Indian,17,8517189364,26-4-2005,2940 0000 0000,"526
Ganesh Ganj
Ahmedabad-018582",Madhya Pradesh
aman soni badal,Male,Indian,35,8140630530,1-4-1987,7500 0000 0000,"05
Ratta
Bhavnagar 677958",Manipur
neha,Female,Indian,58,4377194690,20-10-1964,1350 0000 0000,"93/643
Deol Street, Salem-376254",Uttarakhand
Virajit Dutt,Male,Indian,18,2016899897,5-10-2003,4590 0000 0000,"329, Zila
Nagpur 554285",Maharashtra
buity,Female,Indian,65,4289584687,14-2-1957,8770 0000 0000,"72/24, Dhar, Allahabad 072672",Andhra Pradesh
mohan singh,Female,Indian,76,1749798071,17-5-1946,7400 0000 0000,"81/521, Loyal Zila, Mango-920050",Tamil Nadu
jitender kumar,Female,Indian,61,9366163191,1-12-1961,9210 0000 0000,"88/601
Raju Ganj
Jamalpur-651402",Kerala
kushal,Male,Indian,41,4897198807,24-2-1981,4390 0000 0000,"H.No. 976
Sha Chowk
Gwalior-768517",Haryana
nisha,Female,Indian,97,2501572966,14-4-1925,2740 0000 0000,"H.No. 111
Deol Road, Bhiwani 097935",Chhattisgarh
leelawati,Male,Indian,45,8012725971,6-6-1977,6960 0000 0000,"H.No. 72
Sachdev Marg, Mirzapur-791379",Himachal Pradesh
doodhnath pandit,Male,Indian,21,9016793498,24-2-2001,1080 0000 0000,"48/725, Sachar Marg, Jamalpur-131023",Maharashtra
shafibul,Male,Indian,28,5770252429,14-3-1994,7110 0000 0000,"331, Sheth Path
Chittoor-693763",Bihar
Mohmika,Female,Indian,19,9327321988,19-11-2003,5200 0000 0000,"36
Bhargava Nagar
Bengaluru 376499",Karnataka
vandana,Female,Indian,67,3400308827,20-2-1955,8200 0000 0000,"11/72, Wali Marg, Tinsukia-189383",Himachal Pradesh
poonam,Female,Indian,81,1534618043,24-8-1941,5140 0000 0000,"28, Jayaraman Street, Sagar-363924",Karnataka
ajay,Female,Indian,10,7281624128,24-3-2012,2080 0000 0000,"17/17, Tata Road
Orai 169285",Sikkim
pooja,Female,Indian,78,4265649832,29-2-1944,6920 0000 0000,"H.No. 844
Dara, Karimnagar 634966",Uttar Pradesh
khushbu,Female,Indian,58,5942753766,12-12-1964,4290 0000 0000,"92/40
Bedi
Giridih 469100",Jharkhand
malade vinisha,Female,Indian,31,6377955396,19-6-1991,2510 0000 0000,"20/581
Gera Path
Thoothukudi 360038",Assam
